Host Since;Host Response Rate;Is Superhost;Latitude;Longitude;Is Exact Location;Accomodates;Bathrooms;Bedrooms;Beds;Guests Included;Min Nights;Reviews;Overall Rating;Accuracy Rating;Cleanliness Rating;Checkin Rating;Communication Rating;Location Rating;Value Rating;Instant Bookable;Price;Host Response Time_a few days or more;Host Response Time_unknown;Host Response Time_within a day;Host Response Time_within a few hours;Host Response Time_within an hour;Property Type_Apartment;Property Type_Bed and breakfast;Property Type_Boat;Property Type_Boutique hotel;Property Type_Bungalow;Property Type_Condominium;Property Type_Guest suite;Property Type_Guesthouse;Property Type_Hostel;Property Type_Hotel;Property Type_House;Property Type_Loft;Property Type_Other;Property Type_Serviced apartment;Property Type_Townhouse;Room Type_Entire home/apt;Room Type_Private room;Room Type_Shared room;Neighborhood Group_Charlottenburg-Wilm.;Neighborhood Group_Friedrichshain-Kreuzberg;Neighborhood Group_Lichtenberg;Neighborhood Group_Marzahn - Hellersdorf;Neighborhood Group_Mitte;Neighborhood Group_Neuk̦lln;Neighborhood Group_Pankow;Neighborhood Group_Reinickendorf;Neighborhood Group_Spandau;Neighborhood Group_Steglitz - Zehlendorf;Neighborhood Group_Tempelhof - Sch̦neberg;Neighborhood Group_Treptow - K̦penick;Boy or Girl?_Boy;Boy or Girl?_Girl;Distance from barycenter
2161;100.0;0.0;52.47666999999999;13.31001;0.0;2.0;1.0;1.0;1.0;1.0;1.0;2;80.0;10.0;10.0;10.0;10.0;9.0;7.0;0.0;50.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0.1029241162111891
1525;100.0;1.0;52.495540000000005;13.42865;1.0;3.0;1.0;1.0;2.0;2.0;2.0;15;99.0;10.0;10.0;10.0;10.0;10.0;9.0;1.0;58.0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0.025626619107432334
2684;;0.0;52.49246;13.35544;0.0;2.0;1.0;1.0;1.0;1.0;3.0;99;97.0;10.0;10.0;9.0;10.0;10.0;10.0;0.0;55.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0.05482979407833235
31;100.0;0.0;52.56551999999999;13.349620000000002;0.0;2.0;1.0;1.0;1.0;1.0;4.0;0;;;;;;;;0.0;80.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0.0802187382810975
1258;100.0;0.0;52.53551;13.38475;0.0;3.0;1.0;1.0;1.0;1.0;20.0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;50.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0.03420618621897932
1901;71.0;0.0;52.4861;13.52592;0.0;1.0;1.0;1.0;1.0;1.0;6.0;0;;;;;;;;0.0;35.0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0.12086294987063081
1278;83.0;0.0;52.5511;13.455170000000004;0.0;4.0;1.0;0.0;2.0;1.0;14.0;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;50.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0.06306671898987268
1949;;1.0;52.47793000000001;13.44469;1.0;2.0;1.0;1.0;2.0;1.0;3.0;20;92.0;10.0;10.0;9.0;10.0;9.0;9.0;1.0;19.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0.049099408219788504
1944;;0.0;52.506240000000005;13.45066;0.0;2.0;1.0;1.0;1.0;1.0;21.0;3;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;40.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0.0433913815911046
1774;;0.0;52.46745;13.33923;0.0;2.0;1.0;1.0;1.0;1.0;1.0;10;98.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;40.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0.08032489396327681
2177;100.0;0.0;52.51834;13.42853;0.0;2.0;1.0;1.0;2.0;2.0;4.0;69;92.0;10.0;9.0;10.0;10.0;10.0;10.0;0.0;81.0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0.0227327504980377
1206;100.0;0.0;52.52053000000001;13.334929999999998;0.0;4.0;1.0;1.0;2.0;2.0;3.0;16;97.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;30.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0.073268616944283
941;;0.0;52.54089000000001;13.34747;0.0;4.0;1.0;1.0;4.0;1.0;4.0;36;79.0;9.0;8.0;10.0;10.0;9.0;9.0;0.0;70.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0.06748998447451085
1523;98.0;0.0;52.49551999999999;13.425679999999998;0.0;2.0;1.0;0.0;1.0;1.0;1.0;4;75.0;10.0;8.0;10.0;10.0;10.0;10.0;0.0;59.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0.023238569417856465
172;;0.0;52.48608;13.42603;0.0;2.0;1.0;1.0;1.0;1.0;3.0;3;93.0;9.0;9.0;8.0;8.0;10.0;9.0;0.0;39.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0.030224092432348883
1042;;0.0;52.49706;13.48321;0.0;2.0;1.0;1.0;1.0;1.0;2.0;5;97.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;35.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0.07686654467397151
2309;;0.0;52.50287;13.315320000000002;0.0;2.0;1.0;1.0;1.0;1.0;7.0;0;;;;;;;;0.0;100.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0.09237076437439397
2282;;0.0;52.49036;13.39564;0.0;4.0;1.5;2.0;2.0;2.0;4.0;16;95.0;10.0;9.0;10.0;10.0;10.0;9.0;0.0;69.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0.02281572219334769
432;78.0;0.0;52.54726;13.41555;0.0;6.0;1.0;2.0;1.0;2.0;5.0;3;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;100.0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0.038236080935012164
125;100.0;0.0;52.49466999999999;13.30176;0.0;2.0;1.0;1.0;2.0;1.0;3.0;5;75.0;6.0;10.0;8.0;10.0;9.0;8.0;0.0;18.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0.10675466563625398
989;89.0;0.0;52.55234;13.37216;0.0;2.0;1.0;1.0;1.0;1.0;5.0;5;88.0;9.0;8.0;10.0;9.0;8.0;9.0;0.0;59.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0.05518008331208238
1138;;0.0;52.49078000000001;13.419129999999996;0.0;2.0;1.0;1.0;1.0;2.0;3.0;8;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;140.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0.02241728283867419
1719;;0.0;52.51274;13.45579;0.0;3.0;1.0;1.0;1.0;1.0;6.0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;49.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0.04845040258798957
2535;100.0;0.0;52.44683000000001;13.32564;0.0;2.0;1.0;1.0;1.0;1.0;6.0;25;94.0;10.0;9.0;10.0;10.0;9.0;9.0;0.0;75.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0.10327626181374529
331;;0.0;52.52873000000001;13.436320000000002;0.0;2.0;1.0;1.0;1.0;1.0;4.0;2;80.0;9.0;7.0;10.0;10.0;7.0;6.0;0.0;42.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0.034491940903233695
2075;;0.0;52.53340999999999;13.42482;0.0;2.0;1.0;1.0;1.0;1.0;2.0;0;;;;;;;;0.0;45.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0.029248725243529956
1530;100.0;0.0;52.49605;13.43737;0.0;10.0;2.0;3.0;8.0;5.0;4.0;32;98.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;125.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0.03299356662521653
1276;100.0;0.0;52.47641999999999;13.42217;0.0;4.0;2.0;1.0;2.0;1.0;1.0;2;;;;;;;;0.0;70.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0.03658170181469263
330;50.0;0.0;52.46928000000001;13.47197;0.0;1.0;1.0;1.0;1.0;1.0;1.0;26;98.0;10.0;10.0;10.0;10.0;9.0;10.0;0.0;10.0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0.07626333891210256
1574;100.0;0.0;52.50456;13.46881;0.0;2.0;1.0;1.0;1.0;1.0;2.0;1;100.0;10.0;8.0;10.0;10.0;10.0;10.0;0.0;40.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0.061618566672889855
609;;0.0;52.51691;13.47234;0.0;2.0;1.0;1.0;1.0;1.0;1.0;5;95.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;32.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0.0652946004779187
1080;100.0;1.0;52.51931999999999;13.45496;1.0;1.0;1.0;1.0;1.0;1.0;3.0;26;99.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;28.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0.04846177805114636
436;;0.0;52.54471;13.365970000000004;0.0;3.0;1.0;1.0;1.0;1.0;3.0;0;;;;;;;;0.0;38.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0.05413187385693944
1136;;0.0;52.53199000000001;13.43551;0.0;3.0;1.0;1.0;2.0;1.0;2.0;4;87.0;8.0;8.0;9.0;8.0;9.0;9.0;0.0;21.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0.03573446528937068
1005;;0.0;52.47379;13.426629999999998;0.0;2.0;1.0;0.0;1.0;1.0;7.0;0;;;;;;;;0.0;47.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0.040898218711796386
1439;;0.0;52.53941999999999;13.58221;0.0;3.0;1.0;1.0;2.0;1.0;1.0;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;29.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0.17726266479304978
668;100.0;0.0;52.50133000000001;13.48245;0.0;2.0;1.0;1.0;1.0;1.0;1.0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;50.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0.07551454891946843
2367;;0.0;52.524980000000006;13.41105;0.0;2.0;1.0;1.0;1.0;2.0;3.0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;150.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0.015512389187700797
1720;100.0;0.0;52.50211999999999;13.352520000000002;0.0;2.0;1.0;1.0;1.0;2.0;1.0;29;93.0;10.0;10.0;9.0;10.0;10.0;9.0;0.0;50.0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0.05545119737458853
2788;;0.0;52.47373000000001;13.446870000000002;0.0;9.0;1.0;3.0;6.0;2.0;7.0;2;100.0;10.0;10.0;10.0;10.0;9.0;10.0;0.0;129.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0.05351780885765068
1225;;0.0;52.50185;13.44001;0.0;2.0;1.0;1.0;2.0;1.0;1.0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;12.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0.03356595056086399
3244;;0.0;52.4874;13.38935;0.0;2.0;1.0;2.0;1.0;1.0;2.0;0;;;;;;;;0.0;31.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0.028857859858263474
3388;100.0;0.0;52.54964;13.400429999999998;0.0;2.0;1.0;1.0;1.0;2.0;3.0;23;97.0;10.0;10.0;10.0;10.0;9.0;10.0;0.0;56.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0.04035297694515633
1093;100.0;1.0;52.43411999999999;13.1214;1.0;5.0;1.0;2.0;2.0;2.0;1.0;84;96.0;10.0;10.0;10.0;10.0;9.0;10.0;1.0;75.0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0.29589090016927544
2921;;0.0;52.478640000000006;13.44946;0.0;3.0;1.0;1.0;1.0;1.0;2.0;0;;;;;;;;0.0;65.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0.052384555531815445
2645;100.0;0.0;52.48203;13.3612;0.0;1.0;1.0;1.0;1.0;1.0;3.0;170;93.0;9.0;10.0;10.0;10.0;10.0;9.0;0.0;67.0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0.05397380857455528
1468;;0.0;52.46263;13.34696;0.0;2.0;2.0;1.0;1.0;1.0;3.0;0;;;;;;;;0.0;40.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0.07674636176891635
2877;;0.0;52.52019;13.45406;0.0;2.0;1.0;1.0;1.0;1.0;7.0;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;30.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0.04775918057496431
1476;;0.0;52.55811;13.38867;0.0;3.0;1.0;1.0;2.0;1.0;3.0;1;100.0;8.0;8.0;10.0;10.0;10.0;10.0;0.0;25.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0.05173117364391846
1926;;0.0;52.53719;13.38855;0.0;4.0;2.0;2.0;2.0;2.0;5.0;5;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;103.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0.033182347031215316
3017;;0.0;52.494890000000005;13.39352;0.0;2.0;1.5;1.0;2.0;1.0;6.0;6;97.0;10.0;9.0;10.0;10.0;10.0;10.0;0.0;30.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0.0204578135240052
133;100.0;0.0;52.52691;13.40585;0.0;2.0;1.0;1.0;2.0;1.0;1.0;4;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;29.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0.017084992007177884
2479;100.0;0.0;52.504830000000005;13.46344;0.0;4.0;1.0;2.0;2.0;3.0;2.0;9;88.0;8.0;7.0;9.0;10.0;10.0;9.0;0.0;115.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0.0562457055243412
1061;;0.0;52.54028;13.3723;0.0;2.0;1.0;1.0;1.0;1.0;2.0;1;80.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;25.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0.046440498938606786
1450;100.0;0.0;52.50898000000001;13.45219;0.0;2.0;1.0;1.0;1.0;1.0;3.0;0;;;;;;;;0.0;38.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0.04477635582652167
2217;;0.0;52.52946;13.40318;0.0;6.0;1.0;3.0;2.0;2.0;5.0;2;100.0;10.0;10.0;9.0;10.0;10.0;10.0;0.0;90.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0.020017286790837523
2368;;0.0;52.43431;13.47709;0.0;4.0;1.0;1.0;2.0;1.0;1.0;1;100.0;10.0;10.0;10.0;10.0;8.0;10.0;0.0;21.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0.10279575099459551
1074;100.0;0.0;52.50834000000001;13.40199;0.0;2.0;1.0;1.0;1.0;1.0;2.0;4;100.0;10.0;9.0;10.0;10.0;10.0;10.0;0.0;30.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0.005651906781113007
1213;100.0;0.0;52.54469000000001;13.43466;0.0;2.0;1.0;1.0;1.0;1.0;2.0;59;97.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;41.0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0.04418556537962024
520;100.0;0.0;52.4851;13.42119;0.0;1.0;1.0;1.0;1.0;1.0;2.0;2;100.0;9.0;10.0;10.0;10.0;9.0;10.0;0.0;15.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0.028362808601053266
1257;;0.0;52.4887;13.4125;0.0;2.0;1.5;1.0;1.0;1.0;2.0;13;83.0;8.0;8.0;9.0;9.0;9.0;8.0;0.0;28.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0.02179708236161724
2129;;0.0;52.50605;13.41661;0.0;2.0;1.0;1.0;1.0;2.0;7.0;0;;;;;;;;0.0;59.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0.009960118970545134
1487;100.0;1.0;52.48984;13.39239;1.0;5.0;1.0;1.0;5.0;2.0;3.0;74;98.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;40.0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0.025065892482984704
179;100.0;0.0;52.46674;13.43554;0.0;1.0;1.0;1.0;1.0;1.0;1.0;4;93.0;10.0;8.0;10.0;10.0;10.0;10.0;0.0;23.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0.05150863674269978
2001;;1.0;52.519940000000005;13.491270000000002;1.0;2.0;1.0;1.0;1.0;1.0;1.0;45;96.0;9.0;9.0;10.0;10.0;9.0;9.0;1.0;25.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0.0844462063601902
1364;;0.0;52.4801;13.44687;0.0;1.0;1.0;1.0;1.0;1.0;3.0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;25.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0.04943640168045598
